Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 16:15:00,Ours,0.00208,1.567810292024026,9.695759065765213,9.695759065765213,1,79.3945,1:19.39,76.1832,0.1679,3.042,79.3945,1:19.39,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,3,4];1:[1,2];5:[0,5,6,7];0:[0];7:[0,7];2:[2,3];9:[1,2,3,4];4:[4,5,6,7];3:[3,4,5,6,7];6:[0,1,6,7]","c8:bw=55,experts=[0,1,2,3,4]; c1:bw=29,experts=[1,2]; c5:bw=44,experts=[0,5,6,7]; c0:bw=10,experts=[0]; c7:bw=20,experts=[0,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[1,2,3,4]; c4:bw=40,experts=[4,5,6,7]; c3:bw=51,experts=[3,4,5,6,7]; c6:bw=41,experts=[0,1,6,7]","4.4954,13.5419,2.8000,4.9099,14.6996,10.2728,4.0361,8.5448,1.4764,11.4063"
2,2026-09-21 16:16:14,Ours,0.00406,1.315927146957835,15.938076213890596,15.938076213890596,2,73.8396,1:13.84,70.6621,0.1638,3.0124,153.4185,2:33.42,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,2,3];1:[3,4,5,6];8:[0,5,6,7];5:[1,2,3,4,5,6];3:[0,1,2,3,4,5];4:[0,1,2];7:[1,2,3,4,5];9:[0,5,6,7];6:[2];2:[4,5]","c0:bw=36,experts=[1,2,3]; c1:bw=41,experts=[3,4,5,6]; c8:bw=48,experts=[0,5,6,7]; c5:bw=69,experts=[1,2,3,4,5,6]; c3:bw=67,experts=[0,1,2,3,4,5]; c4:bw=30,experts=[0,1,2]; c7:bw=55,experts=[1,2,3,4,5]; c9:bw=46,experts=[0,5,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[4,5]","4.8114,12.3523,2.9914,2.6038,1.4415,8.4582,14.6513,3.5089,10.4380,9.4052"
3,2026-09-21 16:17:28,Ours,0.006040000000000001,1.0151099726091843,28.66856177012907,28.66856177012907,3,73.5798,1:13.58,70.3625,0.1609,3.0551,227.011,3:47.01,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,3,4];2:[0,1,6,7];0:[0,4,5,6,7];6:[3,4,5,6];8:[1,2,3];5:[7];3:[6,7];7:[0,6,7];1:[7];4:[3,4,5,6,7]","c9:bw=48,experts=[1,2,3,4]; c2:bw=42,experts=[0,1,6,7]; c0:bw=50,experts=[0,4,5,6,7]; c6:bw=40,experts=[3,4,5,6]; c8:bw=30,experts=[1,2,3]; c5:bw=13,experts=[7]; c3:bw=26,experts=[6,7]; c7:bw=33,experts=[0,6,7]; c1:bw=13,experts=[7]; c4:bw=52,experts=[3,4,5,6,7]","3.5275,9.2641,4.7404,10.6846,3.1304,2.6733,1.4393,14.2153,12.4306,8.2569"
4,2026-09-21 16:18:41,Ours,0.00802,0.852071537362936,55.17055931161647,55.17055931161647,4,73.0908,1:13.09,69.9117,0.1609,3.0169,300.1146,5:00.11,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,3];7:[1,2,3,4];6:[0,1,2,3,7];2:[2,3,4,5,6,7];8:[4,5,6];0:[1,2,3,4,5];3:[0,1,2];4:[0,1,2,3,4];5:[0,1,2,3,4,5,6];9:[5,6]","c1:bw=40,experts=[0,1,2,3]; c7:bw=45,experts=[1,2,3,4]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c3:bw=34,experts=[0,1,2]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[5,6]","12.7083,14.2227,10.5172,8.9751,2.9986,4.7505,1.4485,8.1999,2.6189,3.4721"
5,2026-09-21 16:19:55,Ours,0.01,0.77901457585226,44.56438229870928,55.17055931161647,4,74.5095,1:14.51,71.3005,0.1627,3.0452,374.6378,6:14.64,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,5];5:[0,1,2,7];4:[0,5,6,7];8:[0,1,7];0:[0,1,2,6,7];7:[5,6];6:[0,4,5,6,7];3:[0,3,4,5,6,7];2:[0];9:[0,1,2,3,4,7]","c1:bw=20,experts=[4,5]; c5:bw=40,experts=[0,1,2,7]; c4:bw=48,experts=[0,5,6,7]; c8:bw=37,experts=[0,1,7]; c0:bw=50,experts=[0,1,2,6,7]; c7:bw=24,experts=[5,6]; c6:bw=53,experts=[0,4,5,6,7]; c3:bw=63,experts=[0,3,4,5,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,7]","12.5430,2.6967,8.2235,3.1487,4.7039,14.8211,11.0978,1.4980,8.9481,3.6197"
6,2026-09-21 16:21:11,Ours,0.01,0.7325688624091399,54.96696373693915,55.17055931161647,4,75.7752,1:15.78,72.5833,0.1633,3.0272,450.4267,7:30.43,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[1,2,3,4];5:[3,4];7:[0,1,2,3,7];3:[1,2,3];1:[0,6,7];9:[0,5,6,7];0:[3,4,5];4:[1];6:[1,2]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[1,2,3,4]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[1,2,3]; c1:bw=32,experts=[0,6,7]; c9:bw=48,experts=[0,5,6,7]; c0:bw=31,experts=[3,4,5]; c4:bw=17,experts=[1]; c6:bw=20,experts=[1,2]","3.1245,9.5001,2.7694,15.1049,1.4572,12.8226,3.4998,4.7130,8.3928,11.1989"
7,2026-09-21 16:22:26,Ours,0.01,0.7546903484443577,46.200829748002455,55.17055931161647,4,74.4918,1:14.49,71.3067,0.1622,3.0216,524.9333,8:44.93,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,6,7];5:[0,5,6,7];2:[0,5,6,7];6:[3];3:[4,5];7:[4,5,6];4:[2];1:[1];8:[0,1,2,3,4];9:[1]","c0:bw=36,experts=[0,6,7]; c5:bw=49,experts=[0,5,6,7]; c2:bw=40,experts=[0,5,6,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[2]; c1:bw=10,experts=[1]; c8:bw=57,experts=[0,1,2,3,4]; c9:bw=10,experts=[1]","4.8007,2.6202,9.3606,10.8307,1.4705,14.2661,8.3907,12.8804,3.1096,3.5772"
8,2026-09-21 16:23:41,Ours,0.01,0.7243694180594493,60.8520282728949,60.8520282728949,8,75.2376,1:15.24,71.9564,0.1634,3.1166,600.1854,10:00.19,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[5,6,7];1:[2,3,4,5,6];3:[0,6,7];0:[1,2,3];5:[1,2];2:[1,2,3,4,5];9:[2,3,4,5,6];7:[7];6:[4,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[5,6,7]; c1:bw=58,experts=[2,3,4,5,6]; c3:bw=37,experts=[0,6,7]; c0:bw=32,experts=[1,2,3]; c5:bw=28,experts=[1,2]; c2:bw=54,experts=[1,2,3,4,5]; c9:bw=59,experts=[2,3,4,5,6]; c7:bw=15,experts=[7]; c6:bw=41,experts=[4,5,6,7]","8.2387,3.0235,12.5499,1.4215,4.9244,2.6546,9.5072,3.6590,14.6769,11.3008"
9,2026-09-21 16:24:57,Ours,0.01,0.7216550279021816,81.3421942224954,81.3421942224954,9,75.7976,1:15.80,72.456,0.164,3.1763,675.9986,11:16.00,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[6,7];0:[0,4,5,6,7];4:[0,4,5,6,7];9:[0,7];8:[0];6:[0,1,2];7:[0,1,2,3];5:[3,4,5,6,7];1:[7];3:[1,2]","c2:bw=21,experts=[6,7]; c0:bw=52,experts=[0,4,5,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,7]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c7:bw=46,experts=[0,1,2,3]; c5:bw=52,experts=[3,4,5,6,7]; c1:bw=14,experts=[7]; c3:bw=23,experts=[1,2]","9.6224,4.9588,8.7248,3.7157,3.1555,10.9821,14.4314,2.7125,12.6826,1.4701"
10,2026-09-21 16:26:15,Ours,0.01,0.6777768576426048,71.3237553779963,81.3421942224954,9,78.0604,1:18.06,74.5508,0.1711,3.3371,754.0752,12:34.08,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,2,3];2:[0,1,2];7:[4,5,6];0:[1,2,3,4,5];6:[0,3,4,5,6,7];3:[3,4,5,6];5:[0,1,2,3,4];8:[1,2,3];9:[1,2,3];1:[0,1,2,3]","c4:bw=37,experts=[1,2,3]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c6:bw=65,experts=[0,3,4,5,6,7]; c3:bw=46,experts=[3,4,5,6]; c5:bw=58,experts=[0,1,2,3,4]; c8:bw=35,experts=[1,2,3]; c9:bw=35,experts=[1,2,3]; c1:bw=41,experts=[0,1,2,3]","8.7420,9.6218,14.4321,4.9788,11.1430,1.5037,2.9021,3.3321,3.9560,13.9393"
11,2026-09-21 16:27:37,Ours,0.01,0.6973273599969232,78.13076213890596,81.3421942224954,9,81.6847,1:21.68,77.8899,0.1622,3.6313,835.7769,13:55.78,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[5,6];2:[3,4];7:[0,1,2,7];3:[0,1,2,3,7];0:[6,7];8:[4,5,6];9:[4,5,6];6:[1,2,3,4,5];1:[4,5,6,7];4:[4]","c5:bw=28,experts=[5,6]; c2:bw=27,experts=[3,4]; c7:bw=44,experts=[0,1,2,7]; c3:bw=50,experts=[0,1,2,3,7]; c0:bw=28,experts=[6,7]; c8:bw=39,experts=[4,5,6]; c9:bw=33,experts=[4,5,6]; c6:bw=55,experts=[1,2,3,4,5]; c1:bw=40,experts=[4,5,6,7]; c4:bw=16,experts=[4]","2.7699,9.3707,16.0209,1.8725,5.3643,3.2036,4.4094,11.8285,14.0038,9.0463"
12,2026-09-21 16:28:56,Ours,0.01,0.6800819345549616,56.24615857406269,81.3421942224954,9,79.6709,1:19.67,76.4538,0.1641,3.0517,915.4674,15:15.47,10,"1,5,2,4,3,7,9,6,8,0",1:42;5:56;2:57;4:28;3:35;7:30;9:42;6:29;8:55;0:49,"1:[0,1,2,3];5:[0,1,2,3,7];2:[0,1,5,6,7];4:[5,6];3:[4,5,6];7:[3,4,5];9:[0,1,2,7];6:[6,7];8:[0,1,2,3,7];0:[0,1,2,3]","c1:bw=42,experts=[0,1,2,3]; c5:bw=56,experts=[0,1,2,3,7]; c2:bw=57,experts=[0,1,5,6,7]; c4:bw=28,experts=[5,6]; c3:bw=35,experts=[4,5,6]; c7:bw=30,experts=[3,4,5]; c9:bw=42,experts=[0,1,2,7]; c6:bw=29,experts=[6,7]; c8:bw=55,experts=[0,1,2,3,7]; c0:bw=49,experts=[0,1,2,3]","14.4454,3.0323,10.1577,8.9243,1.6340,15.6419,3.7442,10.9014,3.1655,4.8072"
13,2026-09-21 16:30:15,Ours,0.01,0.7127180616150358,58.170712968653966,81.3421942224954,9,79.1672,1:19.17,75.9183,0.1667,3.0809,994.6503,16:34.65,10,"3,1,4,5,8,6,9,7,0,2",3:30;1:47;4:10;5:29;8:15;6:36;9:15;7:58;0:25;2:16,"3:[0,1,7];1:[4,5,6,7];4:[7];5:[4,5];8:[4];6:[0,1,2];9:[3];7:[0,1,2,6,7];0:[4,5];2:[2]","c3:bw=30,experts=[0,1,7]; c1:bw=47,experts=[4,5,6,7]; c4:bw=10,experts=[7]; c5:bw=29,experts=[4,5]; c8:bw=15,experts=[4]; c6:bw=36,experts=[0,1,2]; c9:bw=15,experts=[3]; c7:bw=58,experts=[0,1,2,6,7]; c0:bw=25,experts=[4,5]; c2:bw=16,experts=[2]","1.4675,12.8295,8.4512,2.7072,3.0699,11.1387,4.2886,15.9448,5.8853,10.1355"
14,2026-09-21 16:31:28,Ours,0.01,0.6882171887331981,82.09895513214505,82.09895513214505,14,72.6657,1:12.67,69.4876,0.1624,3.0145,1067.3308,17:47.33,10,"2,4,5,1,7,0,9,3,8,6",2:45;4:10;5:64;1:38;7:25;0:25;9:32;3:45;8:21;6:67,"2:[3,4,5,6];4:[0];5:[0,1,2,3,6,7];1:[0,1,2];7:[3,4];0:[6,7];9:[4,5,6];3:[2,3,4,5];8:[5,6];6:[0,3,4,5,6,7]","c2:bw=45,experts=[3,4,5,6]; c4:bw=10,experts=[0]; c5:bw=64,experts=[0,1,2,3,6,7]; c1:bw=38,experts=[0,1,2]; c7:bw=25,experts=[3,4]; c0:bw=25,experts=[6,7]; c9:bw=32,experts=[4,5,6]; c3:bw=45,experts=[2,3,4,5]; c8:bw=21,experts=[5,6]; c6:bw=67,experts=[0,3,4,5,6,7]","8.8751,8.0726,2.6263,12.6952,14.0384,4.6301,3.4544,1.4210,3.0671,10.6074"
15,2026-09-21 16:32:40,Ours,0.01,0.6740872322013481,79.24477566072527,82.09895513214505,14,72.1024,1:12.10,68.9682,0.1587,2.9742,1139.4497,18:59.45,10,"7,0,1,8,3,2,4,5,9,6",7:59;0:20;1:14;8:52;3:10;2:53;4:47;5:18;9:19;6:33,"7:[0,1,5,6,7];0:[0,1];1:[3];8:[0,1,2,3,7];3:[6];2:[0,1,2,3,7];4:[1,2,3,4];5:[4];9:[7];6:[1,2,3]","c7:bw=59,experts=[0,1,5,6,7]; c0:bw=20,experts=[0,1]; c1:bw=14,experts=[3]; c8:bw=52,experts=[0,1,2,3,7]; c3:bw=10,experts=[6]; c2:bw=53,experts=[0,1,2,3,7]; c4:bw=47,experts=[1,2,3,4]; c5:bw=18,experts=[4]; c9:bw=19,experts=[7]; c6:bw=33,experts=[1,2,3]","14.2669,4.6142,12.3858,3.0533,1.4119,8.7540,8.1296,2.6232,3.4085,10.3208"
16,2026-09-21 16:33:52,Ours,0.01,0.6498194790832885,77.32022126613398,82.09895513214505,14,71.547,1:11.55,68.3385,0.1591,3.0481,1211.0128,20:11.01,10,"6,1,3,8,7,5,4,9,0,2",6:40;1:29;3:43;8:49;7:22;5:40;4:35;9:24;0:57;2:52,"6:[4,5,6,7];1:[4,5];3:[0,1,2,7];8:[4,5,6,7];7:[2,3];5:[0,5,6,7];4:[5,6,7];9:[0,1];0:[2,3,4,5,6];2:[0,4,5,6,7]","c6:bw=40,experts=[4,5,6,7]; c1:bw=29,experts=[4,5]; c3:bw=43,experts=[0,1,2,7]; c8:bw=49,experts=[4,5,6,7]; c7:bw=22,experts=[2,3]; c5:bw=40,experts=[0,5,6,7]; c4:bw=35,experts=[5,6,7]; c9:bw=24,experts=[0,1]; c0:bw=57,experts=[2,3,4,5,6]; c2:bw=52,experts=[0,4,5,6,7]","10.3369,12.3668,1.4098,3.0309,13.6511,2.6121,8.1316,3.4180,4.6356,8.7456"
17,2026-09-21 16:35:04,Ours,0.01,0.6553147701240983,84.70344191763982,84.70344191763982,17,72.4311,1:12.43,69.2676,0.1569,3.0054,1283.4598,21:23.46,10,"4,7,8,3,5,1,0,2,9,6",4:58;7:25;8:10;3:52;5:10;1:29;0:11;2:19;9:37;6:39,"4:[0,1,2,3,4];7:[4,5];8:[0];3:[3,4,5,6,7];5:[1];1:[6,7];0:[7];2:[1];9:[2,3,4];6:[0,1,2]","c4:bw=58,experts=[0,1,2,3,4]; c7:bw=25,experts=[4,5]; c8:bw=10,experts=[0]; c3:bw=52,experts=[3,4,5,6,7]; c5:bw=10,experts=[1]; c1:bw=29,experts=[6,7]; c0:bw=11,experts=[7]; c2:bw=19,experts=[1]; c9:bw=37,experts=[2,3,4]; c6:bw=39,experts=[0,1,2]","8.1088,14.6667,3.0585,1.4122,2.5937,12.4500,4.5789,8.7556,3.4126,10.2305"
18,2026-09-21 16:36:18,Ours,0.01,0.6421730829701456,76.52888752304855,84.70344191763982,17,73.5582,1:13.56,70.3283,0.1663,3.0624,1357.0346,22:37.03,10,"1,8,5,2,9,7,4,3,0,6",1:10;8:10;5:35;2:37;9:19;7:55;4:56;3:37;0:49;6:31,"1:[0];8:[1];5:[2,3,4];2:[2,3,4];9:[5];7:[0,1,2,6,7];4:[0,1,5,6,7];3:[0,1,2];0:[0,1,2,3];6:[3,4,5]","c1:bw=10,experts=[0]; c8:bw=10,experts=[1]; c5:bw=35,experts=[2,3,4]; c2:bw=37,experts=[2,3,4]; c9:bw=19,experts=[5]; c7:bw=55,experts=[0,1,2,6,7]; c4:bw=56,experts=[0,1,5,6,7]; c3:bw=37,experts=[0,1,2]; c0:bw=49,experts=[0,1,2,3]; c6:bw=31,experts=[3,4,5]","12.5869,3.0550,2.6478,9.0120,3.5127,14.2380,8.3132,1.4892,4.7841,10.6895"
19,2026-09-21 16:37:31,Ours,0.01,0.6326226766116052,90.07759680393362,90.07759680393362,19,73.6687,1:13.67,70.3924,0.1677,3.1073,1430.7205,23:50.72,10,"8,0,4,1,9,5,7,2,6,3",8:56;0:42;4:51;1:46;9:38;5:29;7:22;2:14;6:66;3:40,"8:[2,3,4,5,6];0:[4,5,6,7];4:[2,3,4,5,6];1:[1,2,3,4];9:[0,6,7];5:[5,6];7:[3,4];2:[5];6:[0,1,2,3,6,7];3:[3,4,5,6]","c8:bw=56,experts=[2,3,4,5,6]; c0:bw=42,experts=[4,5,6,7]; c4:bw=51,experts=[2,3,4,5,6]; c1:bw=46,experts=[1,2,3,4]; c9:bw=38,experts=[0,6,7]; c5:bw=29,experts=[5,6]; c7:bw=22,experts=[3,4]; c2:bw=14,experts=[5]; c6:bw=66,experts=[0,1,2,3,6,7]; c3:bw=40,experts=[3,4,5,6]","3.1459,4.7532,8.2872,12.6206,3.5470,2.6412,14.2083,9.0021,10.7257,1.4613"
