Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 08:20:57,Ours,0.00208,1.4390461712667162,27.72,27.72,1,41.8045,0:41.80,40.7761,0.1235,0.9041,41.8045,0:41.80,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,3,4];1:[1,2];5:[0,5,6,7];0:[0];7:[0,7];2:[2,3];9:[1,2,3,4];4:[4,5,6,7];3:[3,4,5,6,7];6:[0,1,6,7]","c8:bw=55,experts=[0,1,2,3,4]; c1:bw=29,experts=[1,2]; c5:bw=44,experts=[0,5,6,7]; c0:bw=10,experts=[0]; c7:bw=20,experts=[0,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[1,2,3,4]; c4:bw=40,experts=[4,5,6,7]; c3:bw=51,experts=[3,4,5,6,7]; c6:bw=41,experts=[0,1,6,7]","5.5867,14.1487,4.7820,5.1030,2.9369,0.1851,3.9456,2.1960,0.4372,1.4548"
2,2026-09-21 08:21:38,Ours,0.00406,1.2840877457394708,35.27,35.27,2,40.881,0:40.88,39.8529,0.1281,0.8992,82.8915,1:22.89,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,2,3];1:[3,4,5,6];8:[0,5,6,7];5:[1,2,3,4,5,6];3:[0,1,2,3,4,5];4:[0,1,2];7:[1,2,3,4,5];9:[0,5,6,7];6:[2];2:[4,5]","c0:bw=36,experts=[1,2,3]; c1:bw=41,experts=[3,4,5,6]; c8:bw=48,experts=[0,5,6,7]; c5:bw=69,experts=[1,2,3,4,5,6]; c3:bw=67,experts=[0,1,2,3,4,5]; c4:bw=30,experts=[0,1,2]; c7:bw=55,experts=[1,2,3,4,5]; c9:bw=46,experts=[0,5,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[4,5]","4.9079,14.7492,5.0077,4.6490,0.3917,2.2097,2.7154,3.6812,1.3572,0.1839"
3,2026-09-21 08:22:19,Ours,0.006040000000000001,1.1787302836743054,34.49,35.27,2,40.671,0:40.67,39.6693,0.1273,0.8736,123.5755,2:03.58,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,3,4];2:[0,1,6,7];0:[0,4,5,6,7];6:[3,4,5,6];8:[1,2,3];5:[7];3:[6,7];7:[0,6,7];1:[7];4:[3,4,5,6,7]","c9:bw=48,experts=[1,2,3,4]; c2:bw=42,experts=[0,1,6,7]; c0:bw=50,experts=[0,4,5,6,7]; c6:bw=40,experts=[3,4,5,6]; c8:bw=30,experts=[1,2,3]; c5:bw=13,experts=[7]; c3:bw=26,experts=[6,7]; c7:bw=33,experts=[0,6,7]; c1:bw=13,experts=[7]; c4:bw=52,experts=[3,4,5,6,7]","3.6632,0.1583,4.6534,1.3908,4.9862,4.6037,0.3829,2.8321,14.8051,2.1936"
4,2026-09-21 08:23:01,Ours,0.00802,1.1021349114687184,41.31,41.31,4,41.8729,0:41.87,40.84,0.1194,0.9082,165.4595,2:45.46,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,3];7:[1,2,3,4];6:[0,1,2,3,7];2:[2,3,4,5,6,7];8:[4,5,6];0:[1,2,3,4,5];3:[0,1,2];4:[0,1,2,3,4];5:[0,1,2,3,4,5,6];9:[5,6]","c1:bw=40,experts=[0,1,2,3]; c7:bw=45,experts=[1,2,3,4]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c3:bw=34,experts=[0,1,2]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[5,6]","15.1116,2.7429,1.4456,0.1540,5.0883,4.9441,0.4009,2.2746,4.7488,3.9292"
5,2026-09-21 08:23:43,Ours,0.01,1.1839887639127704,28.27,41.31,4,42.3051,0:42.31,41.2862,0.1254,0.8927,207.778,3:27.78,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,5];5:[0,1,2,7];4:[0,5,6,7];8:[0,1,7];0:[0,1,2,6,7];7:[5,6];6:[0,4,5,6,7];3:[0,3,4,5,6,7];2:[0];9:[0,1,2,3,4,7]","c1:bw=20,experts=[4,5]; c5:bw=40,experts=[0,1,2,7]; c4:bw=48,experts=[0,5,6,7]; c8:bw=37,experts=[0,1,7]; c0:bw=50,experts=[0,1,2,6,7]; c7:bw=24,experts=[5,6]; c6:bw=53,experts=[0,4,5,6,7]; c3:bw=63,experts=[0,3,4,5,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,7]","15.4519,4.8717,2.2500,5.2144,4.8685,2.7772,1.4183,0.4082,0.1607,3.8654"
6,2026-09-21 08:24:26,Ours,0.01,1.0892032435681214,41.65,41.65,6,42.9611,0:42.96,41.9678,0.1239,0.8686,250.7508,4:10.75,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[1,2,3,4];5:[3,4];7:[0,1,2,3,7];3:[1,2,3];1:[0,6,7];9:[0,5,6,7];0:[3,4,5];4:[1];6:[1,2]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[1,2,3,4]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[1,2,3]; c1:bw=32,experts=[0,6,7]; c9:bw=48,experts=[0,5,6,7]; c0:bw=31,experts=[3,4,5]; c4:bw=17,experts=[1]; c6:bw=20,experts=[1,2]","5.4829,0.1578,4.7752,2.9043,0.4116,15.6621,3.9120,5.0105,2.2258,1.4256"
7,2026-09-21 08:25:09,Ours,0.01,1.1726390924184789,33.31,41.65,6,42.311,0:42.31,41.3135,0.1188,0.8722,293.0747,4:53.07,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,6,7];5:[0,5,6,7];2:[0,5,6,7];6:[3];3:[4,5];7:[4,5,6];4:[2];1:[1];8:[0,1,2,3,4];9:[1]","c0:bw=36,experts=[0,6,7]; c5:bw=49,experts=[0,5,6,7]; c2:bw=40,experts=[0,5,6,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[2]; c1:bw=10,experts=[1]; c8:bw=57,experts=[0,1,2,3,4]; c9:bw=10,experts=[1]","5.0790,4.4925,0.1629,1.4445,0.4051,2.7582,2.3362,15.4679,5.4404,3.7267"
8,2026-09-21 08:25:50,Ours,0.01,1.1450252235048235,46.08,46.08,8,41.5982,0:41.60,40.5829,0.1254,0.8891,334.6844,5:34.68,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[5,6,7];1:[2,3,4,5,6];3:[0,6,7];0:[1,2,3];5:[1,2];2:[1,2,3,4,5];9:[2,3,4,5,6];7:[7];6:[4,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[5,6,7]; c1:bw=58,experts=[2,3,4,5,6]; c3:bw=37,experts=[0,6,7]; c0:bw=32,experts=[1,2,3]; c5:bw=28,experts=[1,2]; c2:bw=54,experts=[1,2,3,4,5]; c9:bw=59,experts=[2,3,4,5,6]; c7:bw=15,experts=[7]; c6:bw=41,experts=[4,5,6,7]","2.1993,5.2843,14.9531,0.3961,4.9512,4.6513,0.1600,3.7096,2.8731,1.4049"
9,2026-09-21 08:26:33,Ours,0.01,1.208606303779344,28.84,46.08,8,42.3604,0:42.36,41.3275,0.1244,0.9077,377.0583,6:17.06,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[6,7];0:[0,4,5,6,7];4:[0,4,5,6,7];9:[0,7];8:[0];6:[0,1,2];7:[0,1,2,3];5:[3,4,5,6,7];1:[7];3:[1,2]","c2:bw=21,experts=[6,7]; c0:bw=52,experts=[0,4,5,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,7]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c7:bw=46,experts=[0,1,2,3]; c5:bw=52,experts=[3,4,5,6,7]; c1:bw=14,experts=[7]; c3:bw=23,experts=[1,2]","0.1610,4.9383,2.1533,3.8140,5.1902,1.4330,2.9234,4.7458,15.5646,0.4039"
10,2026-09-21 08:27:15,Ours,0.01,0.9862853249611,48.2,48.2,10,41.9898,0:41.99,40.9835,0.1236,0.882,419.0602,6:59.06,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,2,3];2:[0,1,2];7:[4,5,6];0:[1,2,3,4,5];6:[0,3,4,5,6,7];3:[3,4,5,6];5:[0,1,2,3,4];8:[1,2,3];9:[1,2,3];1:[0,1,2,3]","c4:bw=37,experts=[1,2,3]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c6:bw=65,experts=[0,3,4,5,6,7]; c3:bw=46,experts=[3,4,5,6]; c5:bw=58,experts=[0,1,2,3,4]; c8:bw=35,experts=[1,2,3]; c9:bw=35,experts=[1,2,3]; c1:bw=41,experts=[0,1,2,3]","2.1936,0.1627,2.8879,4.9086,1.4415,0.3830,4.6966,5.2573,3.9507,15.1015"
11,2026-09-21 08:27:55,Ours,0.01,1.1926629186024376,27.4,48.2,10,40.8825,0:40.88,39.8567,0.1236,0.9014,459.9568,7:39.96,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[5,6];2:[3,4];7:[0,1,2,7];3:[0,1,2,3,7];0:[6,7];8:[4,5,6];9:[4,5,6];6:[1,2,3,4,5];1:[4,5,6,7];4:[4]","c5:bw=28,experts=[5,6]; c2:bw=27,experts=[3,4]; c7:bw=44,experts=[0,1,2,7]; c3:bw=50,experts=[0,1,2,3,7]; c0:bw=28,experts=[6,7]; c8:bw=39,experts=[4,5,6]; c9:bw=33,experts=[4,5,6]; c6:bw=55,experts=[1,2,3,4,5]; c1:bw=40,experts=[4,5,6,7]; c4:bw=16,experts=[4]","4.4429,0.1562,2.6970,0.3793,4.8606,5.0448,3.6034,1.4361,15.0122,2.2242"
12,2026-09-21 08:28:37,Ours,0.01,1.0322180736349937,50.18,50.18,12,41.5841,0:41.58,40.5813,0.1255,0.8766,501.5534,8:21.55,10,"1,5,2,4,3,7,9,6,8,0",1:42;5:56;2:57;4:28;3:35;7:30;9:42;6:29;8:55;0:49,"1:[0,1,2,3];5:[0,1,2,3,7];2:[0,1,5,6,7];4:[5,6];3:[4,5,6];7:[3,4,5];9:[0,1,2,7];6:[6,7];8:[0,1,2,3,7];0:[0,1,2,3]","c1:bw=42,experts=[0,1,2,3]; c5:bw=56,experts=[0,1,2,3,7]; c2:bw=57,experts=[0,1,5,6,7]; c4:bw=28,experts=[5,6]; c3:bw=35,experts=[4,5,6]; c7:bw=30,experts=[3,4,5]; c9:bw=42,experts=[0,1,2,7]; c6:bw=29,experts=[6,7]; c8:bw=55,experts=[0,1,2,3,7]; c0:bw=49,experts=[0,1,2,3]","15.0493,4.7619,0.1535,2.1195,0.3819,2.8305,3.6874,1.4024,5.0956,5.0993"
13,2026-09-21 08:29:18,Ours,0.01,1.2183601507359874,30.14,50.18,12,40.8314,0:40.83,39.8148,0.1206,0.8953,542.4001,9:02.40,10,"3,1,4,5,8,6,9,7,0,2",3:30;1:47;4:10;5:29;8:15;6:36;9:15;7:58;0:25;2:16,"3:[0,1,7];1:[4,5,6,7];4:[7];5:[4,5];8:[4];6:[0,1,2];9:[3];7:[0,1,2,6,7];0:[4,5];2:[2]","c3:bw=30,experts=[0,1,7]; c1:bw=47,experts=[4,5,6,7]; c4:bw=10,experts=[7]; c5:bw=29,experts=[4,5]; c8:bw=15,experts=[4]; c6:bw=36,experts=[0,1,2]; c9:bw=15,experts=[3]; c7:bw=58,experts=[0,1,2,6,7]; c0:bw=25,experts=[4,5]; c2:bw=16,experts=[2]","0.3916,14.8159,2.2415,4.6417,5.0131,1.4029,3.5771,2.6136,4.9575,0.1599"
14,2026-09-21 08:29:58,Ours,0.01,1.080454163108301,50.22,50.22,14,40.1083,0:40.11,39.1098,0.1238,0.8739,582.5217,9:42.52,10,"2,4,5,1,7,0,9,3,8,6",2:45;4:10;5:64;1:38;7:25;0:25;9:32;3:45;8:21;6:67,"2:[3,4,5,6];4:[0];5:[0,1,2,3,6,7];1:[0,1,2];7:[3,4];0:[6,7];9:[4,5,6];3:[2,3,4,5];8:[5,6];6:[0,3,4,5,6,7]","c2:bw=45,experts=[3,4,5,6]; c4:bw=10,experts=[0]; c5:bw=64,experts=[0,1,2,3,6,7]; c1:bw=38,experts=[0,1,2]; c7:bw=25,experts=[3,4]; c0:bw=25,experts=[6,7]; c9:bw=32,experts=[4,5,6]; c3:bw=45,experts=[2,3,4,5]; c8:bw=21,experts=[5,6]; c6:bw=67,experts=[0,3,4,5,6,7]","0.1551,2.2396,4.4815,14.1430,2.6557,4.9958,3.6488,0.3784,5.0069,1.4050"
15,2026-09-21 08:30:38,Ours,0.01,1.2172493052125368,48.07,50.22,14,40.4091,0:40.41,39.3977,0.1241,0.8865,622.9457,10:22.95,10,"7,0,1,8,3,2,4,5,9,6",7:59;0:20;1:14;8:52;3:10;2:53;4:47;5:18;9:19;6:33,"7:[0,1,5,6,7];0:[0,1];1:[3];8:[0,1,2,3,7];3:[6];2:[0,1,2,3,7];4:[1,2,3,4];5:[4];9:[7];6:[1,2,3]","c7:bw=59,experts=[0,1,5,6,7]; c0:bw=20,experts=[0,1]; c1:bw=14,experts=[3]; c8:bw=52,experts=[0,1,2,3,7]; c3:bw=10,experts=[6]; c2:bw=53,experts=[0,1,2,3,7]; c4:bw=47,experts=[1,2,3,4]; c5:bw=18,experts=[4]; c9:bw=19,experts=[7]; c6:bw=33,experts=[1,2,3]","2.9412,4.9952,14.0204,5.2324,0.3879,0.1553,2.3084,4.3443,3.6876,1.3249"
16,2026-09-21 08:31:20,Ours,0.01,0.9390664070641879,41.24,50.22,14,41.2018,0:41.20,40.1846,0.1219,0.8946,664.1617,11:04.16,10,"6,1,3,8,7,5,4,9,0,2",6:40;1:29;3:43;8:49;7:22;5:40;4:35;9:24;0:57;2:52,"6:[4,5,6,7];1:[4,5];3:[0,1,2,7];8:[4,5,6,7];7:[2,3];5:[0,5,6,7];4:[5,6,7];9:[0,1];0:[2,3,4,5,6];2:[0,4,5,6,7]","c6:bw=40,experts=[4,5,6,7]; c1:bw=29,experts=[4,5]; c3:bw=43,experts=[0,1,2,7]; c8:bw=49,experts=[4,5,6,7]; c7:bw=22,experts=[2,3]; c5:bw=40,experts=[0,5,6,7]; c4:bw=35,experts=[5,6,7]; c9:bw=24,experts=[0,1]; c0:bw=57,experts=[2,3,4,5,6]; c2:bw=52,experts=[0,4,5,6,7]","1.3953,14.8911,0.3841,5.2927,2.6824,4.6170,2.2200,3.5679,4.9795,0.1544"
17,2026-09-21 08:32:00,Ours,0.01,1.0531727931919102,43.54,50.22,14,40.4545,0:40.45,39.4561,0.1273,0.8704,704.6327,11:44.63,10,"4,7,8,3,5,1,0,2,9,6",4:58;7:25;8:10;3:52;5:10;1:29;0:11;2:19;9:37;6:39,"4:[0,1,2,3,4];7:[4,5];8:[0];3:[3,4,5,6,7];5:[1];1:[6,7];0:[7];2:[1];9:[2,3,4];6:[0,1,2]","c4:bw=58,experts=[0,1,2,3,4]; c7:bw=25,experts=[4,5]; c8:bw=10,experts=[0]; c3:bw=52,experts=[3,4,5,6,7]; c5:bw=10,experts=[1]; c1:bw=29,experts=[6,7]; c0:bw=11,experts=[7]; c2:bw=19,experts=[1]; c9:bw=37,experts=[2,3,4]; c6:bw=39,experts=[0,1,2]","2.3809,2.8499,5.1970,0.3903,4.8074,13.9512,4.7752,0.1528,3.5937,1.3577"
18,2026-09-21 08:32:41,Ours,0.01,0.9245367319425553,54.57,54.57,18,40.8301,0:40.83,39.812,0.1193,0.8923,745.4769,12:25.48,10,"1,8,5,2,9,7,4,3,0,6",1:10;8:10;5:35;2:37;9:19;7:55;4:56;3:37;0:49;6:31,"1:[0];8:[1];5:[2,3,4];2:[2,3,4];9:[5];7:[0,1,2,6,7];4:[0,1,5,6,7];3:[0,1,2];0:[0,1,2,3];6:[3,4,5]","c1:bw=10,experts=[0]; c8:bw=10,experts=[1]; c5:bw=35,experts=[2,3,4]; c2:bw=37,experts=[2,3,4]; c9:bw=19,experts=[5]; c7:bw=55,experts=[0,1,2,6,7]; c4:bw=56,experts=[0,1,5,6,7]; c3:bw=37,experts=[0,1,2]; c0:bw=49,experts=[0,1,2,3]; c6:bw=31,experts=[3,4,5]","14.1550,5.3176,4.7383,0.1653,3.9366,2.8359,2.3495,0.3845,4.6290,1.3003"
19,2026-09-21 08:33:23,Ours,0.01,1.0638023213381982,55.32,55.32,19,41.7317,0:41.73,40.7137,0.1267,0.8906,787.2243,13:07.22,10,"8,0,4,1,9,5,7,2,6,3",8:56;0:42;4:51;1:46;9:38;5:29;7:22;2:14;6:66;3:40,"8:[2,3,4,5,6];0:[4,5,6,7];4:[2,3,4,5,6];1:[1,2,3,4];9:[0,6,7];5:[5,6];7:[3,4];2:[5];6:[0,1,2,3,6,7];3:[3,4,5,6]","c8:bw=56,experts=[2,3,4,5,6]; c0:bw=42,experts=[4,5,6,7]; c4:bw=51,experts=[2,3,4,5,6]; c1:bw=46,experts=[1,2,3,4]; c9:bw=38,experts=[0,6,7]; c5:bw=29,experts=[5,6]; c7:bw=22,experts=[3,4]; c2:bw=14,experts=[5]; c6:bw=66,experts=[0,1,2,3,6,7]; c3:bw=40,experts=[3,4,5,6]","5.0836,4.6194,2.2419,15.6974,3.6107,4.6798,2.8323,0.1583,1.4064,0.3840"
20,2026-09-21 08:34:05,Ours,0.01,0.9476840966078995,50.97,55.32,19,42.3781,0:42.38,41.3728,0.1261,0.8785,829.6175,13:49.62,10,"0,2,1,9,7,6,3,5,4,8",0:28;2:41;1:40;9:17;7:43;6:68;3:18;5:10;4:59;8:50,"0:[0,1];2:[0,1,6,7];1:[0,5,6,7];9:[1];7:[0,5,6,7];6:[0,1,4,5,6,7];3:[7];5:[7];4:[0,1,2,3,7];8:[0,1,2,3,7]","c0:bw=28,experts=[0,1]; c2:bw=41,experts=[0,1,6,7]; c1:bw=40,experts=[0,5,6,7]; c9:bw=17,experts=[1]; c7:bw=43,experts=[0,5,6,7]; c6:bw=68,experts=[0,1,4,5,6,7]; c3:bw=18,experts=[7]; c5:bw=10,experts=[7]; c4:bw=59,experts=[0,1,2,3,7]; c8:bw=50,experts=[0,1,2,3,7]","5.1145,0.1571,15.8631,3.8467,2.7689,1.3883,0.3881,4.3443,2.3366,5.1654"
21,2026-09-21 08:34:45,Ours,0.01,1.1288158583151813,51.67,55.32,19,39.589,0:39.59,38.5796,0.1201,0.8885,869.2228,14:29.22,10,"1,2,7,4,8,5,0,3,6,9",1:41;2:39;7:12;4:48;8:18;5:32;0:66;3:10;6:16;9:25,"1:[1,2,3,4];2:[2,3,4];7:[1];4:[4,5,6,7];8:[4];5:[0,1,2];0:[2,3,4,5,6,7];3:[0];6:[2];9:[2,3]","c1:bw=41,experts=[1,2,3,4]; c2:bw=39,experts=[2,3,4]; c7:bw=12,experts=[1]; c4:bw=48,experts=[4,5,6,7]; c8:bw=18,experts=[4]; c5:bw=32,experts=[0,1,2]; c0:bw=66,experts=[2,3,4,5,6,7]; c3:bw=10,experts=[0]; c6:bw=16,experts=[2]; c9:bw=25,experts=[2,3]","14.1346,0.1544,2.8000,2.1075,5.0930,4.3793,4.6195,0.3846,1.3075,3.5993"
22,2026-09-21 08:35:25,Ours,0.01,0.927769321973695,29.03,55.32,19,40.318,0:40.32,39.3236,0.1224,0.8713,909.5558,15:09.56,10,"7,9,1,6,5,2,0,4,3,8",7:16;9:33;1:10;6:61;5:17;2:66;0:67;4:36;3:56;8:33,"7:[2];9:[4,5,6];1:[5];6:[0,3,4,5,6,7];5:[3];2:[0,1,2,5,6,7];0:[0,1,2,3,4,5];4:[0,1,2];3:[1,2,3,4,5];8:[5,6,7]","c7:bw=16,experts=[2]; c9:bw=33,experts=[4,5,6]; c1:bw=10,experts=[5]; c6:bw=61,experts=[0,3,4,5,6,7]; c5:bw=17,experts=[3]; c2:bw=66,experts=[0,1,2,5,6,7]; c0:bw=67,experts=[0,1,2,3,4,5]; c4:bw=36,experts=[0,1,2]; c3:bw=56,experts=[1,2,3,4,5]; c8:bw=33,experts=[5,6,7]","2.8874,3.6042,14.0430,1.4142,4.3607,0.1552,4.7687,2.3688,0.4024,5.3190"
23,2026-09-21 08:36:05,Ours,0.01,1.0278985028565655,52.4,55.32,19,40.4283,0:40.43,39.4294,0.128,0.8701,950.0006,15:50.00,10,"5,7,4,6,9,8,3,1,2,0",5:52;7:15;4:56;6:10;9:50;8:35;3:15;1:62;2:32;0:11,"5:[0,4,5,6,7];7:[3];4:[3,4,5,6,7];6:[1];9:[0,1,2,3,7];8:[0,1,2];3:[6];1:[0,1,2,3,6,7];2:[3,4,5];0:[6]","c5:bw=52,experts=[0,4,5,6,7]; c7:bw=15,experts=[3]; c4:bw=56,experts=[3,4,5,6,7]; c6:bw=10,experts=[1]; c9:bw=50,experts=[0,1,2,3,7]; c8:bw=35,experts=[0,1,2]; c3:bw=15,experts=[6]; c1:bw=62,experts=[0,1,2,3,6,7]; c2:bw=32,experts=[3,4,5]; c0:bw=11,experts=[6]","4.9278,2.6601,2.3015,1.3182,3.6299,4.9444,0.3962,14.4858,0.1526,4.6131"
24,2026-09-21 08:36:45,Ours,0.01,1.1058820181449855,41.5,55.32,19,39.6332,0:39.63,38.6335,0.1174,0.8782,989.6503,16:29.65,10,"6,4,7,9,2,1,5,8,3,0",6:30;4:12;7:10;9:50;2:43;1:10;5:25;8:18;3:10;0:31,"6:[2,3,4];4:[0];7:[4];9:[0,4,5,6,7];2:[0,1,6,7];1:[4];5:[1,2];8:[3];3:[7];0:[0,1,7]","c6:bw=30,experts=[2,3,4]; c4:bw=12,experts=[0]; c7:bw=10,experts=[4]; c9:bw=50,experts=[0,4,5,6,7]; c2:bw=43,experts=[0,1,6,7]; c1:bw=10,experts=[4]; c5:bw=25,experts=[1,2]; c8:bw=18,experts=[3]; c3:bw=10,experts=[7]; c0:bw=31,experts=[0,1,7]","1.3252,2.1306,2.6048,3.6436,0.1603,13.9478,4.3669,5.0485,0.3773,5.0287"
25,2026-09-21 08:37:26,Ours,0.01,0.9110513149513139,62.11,62.11,25,41.0204,0:41.02,40.0175,0.127,0.8751,1030.6894,17:10.69,10,"9,6,4,3,5,1,8,2,0,7",9:40;6:16;4:58;3:14;5:64;1:49;8:55;2:12;0:56;7:40,"9:[1,2,3,4];6:[5];4:[1,2,3,4,5];3:[0];5:[0,3,4,5,6,7];1:[0,5,6,7];8:[0,4,5,6,7];2:[2];0:[2,3,4,5,6];7:[0,5,6,7]","c9:bw=40,experts=[1,2,3,4]; c6:bw=16,experts=[5]; c4:bw=58,experts=[1,2,3,4,5]; c3:bw=14,experts=[0]; c5:bw=64,experts=[0,3,4,5,6,7]; c1:bw=49,experts=[0,5,6,7]; c8:bw=55,experts=[0,4,5,6,7]; c2:bw=12,experts=[2]; c0:bw=56,experts=[2,3,4,5,6]; c7:bw=40,experts=[0,5,6,7]","4.0177,1.3131,2.1418,0.3794,4.8767,14.0355,5.3538,0.1632,5.1191,2.6172"
26,2026-09-21 08:38:08,Ours,0.01,0.9544297365378911,61.33,62.11,25,41.3711,0:41.37,40.3633,0.1247,0.8823,1072.0764,17:52.08,10,"3,6,9,7,1,5,2,8,0,4",3:44;6:34;9:50;7:31;1:33;5:20;2:30;8:53;0:11;4:48,"3:[1,2,3,4];6:[0,6,7];9:[0,1,5,6,7];7:[1,2,3];1:[1,2,3];5:[1,2];2:[3,4,5];8:[1,2,3,4,5];0:[7];4:[0,1,6,7]","c3:bw=44,experts=[1,2,3,4]; c6:bw=34,experts=[0,6,7]; c9:bw=50,experts=[0,1,5,6,7]; c7:bw=31,experts=[1,2,3]; c1:bw=33,experts=[1,2,3]; c5:bw=20,experts=[1,2]; c2:bw=30,experts=[3,4,5]; c8:bw=53,experts=[1,2,3,4,5]; c0:bw=11,experts=[7]; c4:bw=48,experts=[0,1,6,7]","0.3814,1.3260,3.6682,2.7007,15.8852,4.3951,0.1538,4.9725,4.6282,2.2523"
27,2026-09-21 08:38:47,Ours,0.01,1.037973831511481,61.75,62.11,25,39.6341,0:39.63,38.6213,0.1219,0.8901,1111.7285,18:31.73,10,"7,1,4,0,9,2,8,3,6,5",7:51;1:62;4:12;0:36;9:18;2:20;8:55;3:21;6:63;5:37,"7:[0,4,5,6,7];1:[0,1,4,5,6,7];4:[2];0:[0,1,2];9:[2];2:[6,7];8:[0,1,2,6,7];3:[5,6];6:[1,2,3,4,5,6];5:[3,4,5]","c7:bw=51,experts=[0,4,5,6,7]; c1:bw=62,experts=[0,1,4,5,6,7]; c4:bw=12,experts=[2]; c0:bw=36,experts=[0,1,2]; c9:bw=18,experts=[2]; c2:bw=20,experts=[6,7]; c8:bw=55,experts=[0,1,2,6,7]; c3:bw=21,experts=[5,6]; c6:bw=63,experts=[1,2,3,4,5,6]; c5:bw=37,experts=[3,4,5]","2.6912,14.1185,2.2420,4.6492,3.6489,0.1622,4.9628,0.3977,1.3788,4.3700"
28,2026-09-21 08:39:27,Ours,0.01,0.9726793341632769,55.28,62.11,25,39.8727,0:39.87,38.8725,0.1224,0.8728,1151.6175,19:11.62,10,"6,9,0,8,2,5,1,3,4,7",6:29;9:49;0:47;8:29;2:10;5:33;1:25;3:12;4:10;7:10,"6:[0,7];9:[3,4,5,6];0:[3,4,5,6];8:[3,4];2:[0];5:[0,6,7];1:[2,3];3:[7];4:[3];7:[1]","c6:bw=29,experts=[0,7]; c9:bw=49,experts=[3,4,5,6]; c0:bw=47,experts=[3,4,5,6]; c8:bw=29,experts=[3,4]; c2:bw=10,experts=[0]; c5:bw=33,experts=[0,6,7]; c1:bw=25,experts=[2,3]; c3:bw=12,experts=[7]; c4:bw=10,experts=[3]; c7:bw=10,experts=[1]","1.3312,3.6316,4.6474,5.5051,0.1580,4.3625,14.0760,0.3869,2.1427,2.6312"
